date,realized_return,equity,prob,prob_signal,signal,target_exposure,exposure,turnover,cost_next_day,spread,spread_z,z_entry_dynamic,capital_weight,spread_ret,eurusd,usdinr,eurinr,implied_eurusd,retrained,trained_week,trained_through,n_train_rows
2026-07-08,,1.0,0.9953703681627909,1,1,1.6815786388684375,1.6815786388684375,1.6815786388684375,0.0005044735916605312,5.408839204479321e-05,0.550913266836948,0.08246661707969526,1.2043136155669487,-0.002864697213997294,1.141291856765747,95.54499816894531,109.04989624023438,1.1413459451577919,True,2026-W28,2026-07-07,2486
2026-07-09,-0.006484539359121821,0.9935154606408781,0.974271277586619,1,0,0.0,0.0,1.6815786388684375,0.0005044735916605312,-0.0044206527974557375,0.024791655525588742,0.08165199069111943,1.2036131065987734,-0.003556221296605775,1.1422044038772583,95.86180114746094,109.06999969482422,1.1377837510798026,False,2026-W28,2026-07-07,2486
2026-07-10,-0.0005044735916605312,0.9930142583280784,0.9953703681627909,1,1,1.6810061653599866,1.6810061653599866,1.6810061653599866,0.0005043018496079959,-0.0003078724502336705,0.5557445983500671,0.08165199069111943,1.2039036212765581,-0.003601561794327279,1.1419435739517212,95.37000274658203,108.87779998779297,1.1416357015014875,False,2026-W28,2026-07-07,2486
2026-07-13,-0.0020820467820810793,0.9909467561869658,0.9890158573786417,1,1,1.6777241763790753,1.6810061653599866,0.0,0.0,0.00018290879373172864,0.5851898664530627,0.08165199069111943,1.2059437017642005,-0.0009385717702797421,1.1385631561279297,95.62000274658203,108.88690185546875,1.1387460649216614,True,2026-W29,2026-07-10,2489
2026-07-14,0.0015461067571665608,0.9924788656626987,0.40169617533683777,0,0,0.0,0.0,1.6810061653599866,0.0005043018496079959,0.0002396958780046532,0.5636087711003055,0.08165199069111943,1.2096156282415123,0.0009197507951051821,1.1422044038772583,96.19000244140625,109.8917007446289,1.142444099755263,False,2026-W29,2026-07-10,2489
2026-07-15,-0.0005043018496079959,0.9919783567350481,0.9953051606814066,1,1,1.6785186536958538,1.6785186536958538,1.6785186536958538,0.0005035555961087561,0.000999914294850024,0.6814479851884974,0.08165199069111943,1.2021670275132015,-0.008711645551320707,1.1469204425811768,96.24500274658203,110.48159790039062,1.1479203568760268,False,2026-W29,2026-07-10,2489
2026-07-16,-0.005493879453806612,0.9865285472223605,0.9953051606814066,1,1,1.6877201354664277,1.6785186536958538,0.0,0.0,-9.81149134817727e-05,0.5438199763172983,0.08165199069111943,1.2087571943632935,-0.00297305236775885,1.1445575952529907,96.33499908447266,110.25150299072266,1.144459480339509,False,2026-W29,2026-07-10,2489
2026-07-17,-0.005017524781136988,0.9815786157893732,0.9953051606814066,1,1,1.683948306276925,1.6785186536958538,0.0,0.0,-0.0003235973478845633,0.5368685500917618,0.08165199069111943,1.2060557834048582,-0.002989257682712747,1.1445575952529907,96.2699966430664,110.15540313720703,1.1442339979051062,False,2026-W29,2026-07-10,2489
2026-07-20,-0.0066151149077206374,0.9750853604549652,0.9791319568951925,1,1,1.708140441956622,1.6785186536958538,0.0,0.0,6.960560770341573e-05,1.0817344190779667,0.07663562618813516,1.2348251062803048,-0.0039410434272834065,1.1416828632354736,96.43499755859375,110.10489654541016,1.141752468843177,True,2026-W30,2026-07-17,2494
2026-07-21,0.0014165799623860923,0.9764666468382018,0.06808073880771796,0,0,0.0,0.0,1.6785186536958538,0.0005035555961087561,-0.0016592025634205587,0.548079215454483,0.07663562618813516,1.2379011223215324,0.0008439465115666063,1.1418131589889526,96.4896011352539,110.01300048828125,1.140153956425532,False,2026-W30,2026-07-17,2494
2026-07-22,-0.0005035555961087561,0.975974941593773,0.9755759835243225,1,1,1.7255759835243225,1.7255759835243225,1.7255759835243225,0.0005176727950572967,5.078071134434481e-05,1.0455949598574665,0.08165199069111943,1.25,-0.0014986293272831572,1.1410315036773682,96.55500030517578,110.17720031738281,1.1410822843887125,False,2026-W30,2026-07-17,2494
2026-07-23,-0.0036744403410249706,0.9723887798965514,0.9886557658513387,1,1,1.7386557658513389,1.7255759835243225,0.0,0.0,-0.0002874369537226862,1.0989659466356188,0.08165199069111943,1.25,-0.0018293993287506706,1.1383039951324463,96.56300354003906,109.89029693603516,1.1380165581787236,False,2026-W30,2026-07-17,2494
2026-07-24,-0.0006081155012585553,0.9717974552062463,0.9791319568951925,1,1,1.7291319568951924,1.7255759835243225,0.0,0.0,-0.00032945600399236774,1.062351284878304,0.08246661707969526,1.25,-0.0003524130534179886,1.1375269889831543,96.552001953125,109.79869842529297,1.137197532979162,False,2026-W30,2026-07-17,2494
2026-07-27,-0.006650251831540883,0.9653347573998742,0.9827461441357931,1,1,1.7327461441357932,1.7255759835243225,0.0,0.0,4.866875129572179e-06,1.2301630732959006,0.08246661707969526,1.25,-0.0038539316118426643,1.137268304824829,95.9000015258789,109.06449890136719,1.1372731716999587,True,2026-W31,2026-07-24,2499
2026-07-28,-0.00516278336316182,0.9603509431744883,0.9780599474906921,1,1,1.7280599474906921,1.7255759835243225,0.0,0.0,0.00011243042593833685,1.2574211923915166,0.08165199069111943,1.25,-0.0029919188795252774,1.1388224363327026,95.84200286865234,109.15779876708984,1.138934866758641,False,2026-W31,2026-07-24,2499
2026-07-29,-0.0020162756824017715,0.958414610921194,0.9724219838778178,1,1,1.7224219838778176,1.7255759835243225,0.0,0.0,0.0020938467490334567,1.6969062920136568,0.08165199069111943,1.25,-0.0011684653134101477,1.1386538743972778,95.59870147705078,109.05400085449219,1.1407477211463113,False,2026-W31,2026-07-24,2499
2026-07-30,0.005810653046197646,0.9639836256996636,0.8623056809107462,1,1,1.612305680910746,1.7255759835243225,0.0,0.0,-0.0017675949539166513,0.328139553048712,0.08165199069111943,1.25,0.0033673701428840867,1.1467232704162598,95.72859954833984,109.6050033569336,1.1449556754623431,False,2026-W31,2026-07-24,2499
2026-07-31,-0.0030505452966696238,0.9610429499842189,0.9740916887919108,1,1,1.7240916887919109,1.7255759835243225,0.0,0.0,0.0002702629639987908,0.96165660456928,0.08246661707969526,1.25,-0.0017678417675002518,1.1527377367019653,95.37999725341797,109.9738998413086,1.1530079996659641,False,2026-W31,2026-07-24,2499
2026-08-03,-0.0012223789366355906,0.959868191324956,0.973528246084849,1,1,1.723528246084849,1.7255759835243225,0.0,0.0,-4.795034197679904e-05,0.8338111579763912,0.08246661707969526,1.25,-0.0007083889369733806,1.1512778997421265,95.3270034790039,109.74330139160156,1.1512299494001497,True,2026-W32,2026-07-31,2504
2026-08-04,-0.0012728137946151762,0.9586464578500253,0.9874171415964762,1,1,1.737417141596476,1.7255759835243225,0.0,0.0,-0.0007277755861208046,0.5901810865764785,0.08246661707969526,1.25,-0.0007376167765244257,1.150734782218933,95.33159637451172,109.63200378417969,1.1500070066328123,False,2026-W32,2026-07-31,2504
2026-08-05,-0.0009660235149523893,0.9577203828292165,0.9874171415964762,1,1,1.737417141596476,1.7255759835243225,0.0,0.0,-8.07266890869851e-05,0.7560068721588842,0.08572871543610841,1.25,-0.0005598267037649536,1.1558021306991577,95.10700225830078,109.91719818115234,1.1557214040100707,False,2026-W32,2026-07-31,2504
2026-08-06,0.004333966479483234,0.9618711108651161,0.876232902208964,1,1,1.6262329022089639,1.7255759835243225,0.0,0.0,-0.0004543312991933668,0.4526433344112469,0.08572871543610841,1.25,0.002511605702016973,1.1557353734970093,95.07730102539062,109.84100341796875,1.155281042197816,False,2026-W32,2026-07-31,2504
2026-08-07,-0.0005759288406313451,0.9613171415513988,0.9922480583190918,1,1,1.7422480583190918,1.7255759835243225,0.0,0.0,-6.843657311517148e-05,0.5730212977774751,0.08572871543610841,1.25,-0.0003337603479245614,1.156203031539917,95.197998046875,110.06169891357422,1.1561345949668018,False,2026-W32,2026-07-31,2504
2026-08-10,-0.004066702189532742,0.9574077510270164,0.9914529919624329,1,1,1.7414529919624329,1.7255759835243225,0.0,0.0,-4.136697084144991e-05,0.6476982693986246,0.08572871543610841,1.25,-0.0023567215980990273,1.1546010971069336,95.29000091552734,110.01799774169922,1.1545597301360921,True,2026-W33,2026-08-07,2509
